1 ALLEN STREET,Unspecified,Unknown,Unknown
1156 LEXINGTON AVENUE,19,995720,221779
1156 LEXINGTON AVENUE,19,995720,221779
1156 LEXINGTON AVENUE,19,995720,221779
1156 LEXINGTON AVENUE,19,995720,221779
116 CHARLES STREET,6,982497,206842
116 EAST 124 STREET,25,1001199,232222
116 ELDRIDGE STREET,5,986490,200946
116 FORSYTHE STREET,5,986339,201275
116 MADISON STREET,5,985652,198767
116 SEAMAN AVENUE,34,1005317,255725
116 SEAMAN AVENUE,34,1005317,255725
116 WEST 124 STREET,28,998989,233446
116 WEST 125 STREET,28,999128,233690
116 WEST 125 STREET,28,999128,233690
116 WEST 129 STREET,32,999638,234619
116 WEST 24 STREET,13,986168,210291
1166 2 AVENUE,19,994432,216930
1166 BROADWAY,13,987355,210656
117 HESTER STREET,5,986110,200365
117 NAGLE AVENUE,34,1004297,252813
117 WEST 116 STREET,28,997968,231601
117 WEST 116 STREET,28,997968,231601
117 WEST 28 STREET,13,986670,211197
117 WEST 29 STREET,14,986795,211423
1177 2 AVENUE,19,994523,217110
118 ELDRIDGE STREET,5,986498,200965
118 FORSYTH STREET,5,986346,201294
118 FORSYTHE STREET,5,986346,201294
118 LEXINGTON AVENUE,13,989090,209810
118 MADISON STREET,Unspecified,985670,198770
118 MERCER STREET,1,984485,203030
118 NAGLE AVENUE,34,1004516,252928
118 PRINCE STREET,1,984326,203482
118 WEST 27 STREET,13,986532,210973
1187 1 AVENUE,19,995458,217250
119 AUDUBON AVENUE,33,1001716,246231
119 CHRYSTIE STREET,5,986049,201152
119 CHRYSTIE STREET,5,986049,201152
119 D AVENUE,9,990941,203029
119 LUDLOW STREET,7,987405,201441
119 WEST 106 STREET,24,994312,230588
119 WEST 25 STREET,13,986285,210528
119A HESTER STREET,5,986091,200372
119A HESTER STREET,5,986091,200372
119B HESTER STREET,5,986091,200372
119C HESTER STREET,5,986091,200372
119D HESTER STREET,5,986091,200372
119D HESTER STREET,5,986091,200372
12 DELANCY STREET,5,986080,201640
12 GREENE STREET,1,983449,201884
12 SPRING STREET,5,985755,202046
12 WEST 85 STREET,20,992427,225227
120 EAST 87 STREET,19,996463,223639
120 ELIZABETH STREET,5,985500,201324
120 FORSYTHE STREET,5,986354,201313
120 ORCHARD STREET,7,987162,201425
120 VERMILYEA AVENUE,34,1005974,254961
120 WALKER STREET,5,984301,200670
120 WEST 25 STREET,13,986271,210529
120 WEST 28 STREET,13,986645,211204
1202 LEXINGTON AVENUE,19,995977,222242
1205 1 AVENUE,19,995567,217447
1205 LEXINGTON AVENUE,19,995987,222247
1209 1 AVENUE,19,995587,217483
121 CHRYSTIE STREET,5,986059,201178
121 EAST 88 STREET,19,996614,223861
121 FT GEORGE AVENUE,34,1004511,251817
121 FT GEORGE AVENUE,34,1004511,251817
121 FT GEORGE AVENUE,34,1004511,251817
121 HENRY STREET,Unspecified,986633,199145
121 ST NICHOLAS AVENUE,28,997344,232090
121 ST NICHOLAS AVENUE,28,997344,232090
121 WEST 116 STREET,28,997947,231613
121 WEST 126 STREET,28,999243,233953
121 WEST 29 STREET,14,986773,211435
1212 ST NICHOLAS AVENUE,33,1001253,246303
1215 LEXINGTON AVENUE,19,996073,222403
1217 1 AVENUE,19,995626,217553
122 EAST 116 STREET,25,1000222,230346
122 EAST 17 STREET,13,987653,207424
122 FORSYTH STREET,5,986362,201332
122 FORSYTH STREET,5,986362,201332
122 FORSYTH STREET,Unspecified,986362,201332
122 FORSYTHE STREET,5,986362,201332
122 HAMILTON PLACE,30,998301,239445
122 LUDLOW STREET,7,987423,201472
122 RIDGE STREET,7,988944,201296
122 SUFFOLK STREET,7,988133,201285
122 WEST 125 STREET,28,999096,233708
122 WEST 137 STREET,32,1000635,236490
122 WEST 27 STREET,13,986509,210985
1220 LEXINGTON AVENUE,19,996102,222466
1220 ST NICHOLAS AVENUE,Unspecified,Unknown,Unknown
1224 LEXINGTON AVENUE,19,996124,222507
1224 ST NICHOLAS AVENUE,33,1001330,246445
1225 1 AVENUE,19,995694,217675
1225 ST NICHOLAS AVENUE,33,1001320,246440
1228 ST NICHOLAS AVENUE,33,1001351,246483
123 CHRYSTIE STREET,5,986069,201204
123 CHRYSTIE STREET,5,986069,201204
123 CHRYSTIE STREET,5,986069,201204
123 CHRYSTIE STREET,5,986069,201204
123 CHRYSTIE STREET,5,986069,201204
123 DELANCY STREET,7,987643,201012
123 EAST 116 STREET,25,1000237,230345
123 EAST 88 STREET,19,996629,223852
123 EAST BROADWAY,7,986455,199364
123 ELIZABETH STREET,Unspecified,985503,201356
123 ESSEX STREET,7,987654,201414
123 WEST 112 STREET,28,997312,230745
1234 ST NICHOLAS AVENUE,33,1001383,246540
1236 ST NICHOLAS AVENUE,33,1001393,246560
1237 AMSTERDAM AVENUE,26,995647,234331
1239 BROADWAY,14,987465,211478
124 11 AVENUE,10,982058,211437
124 ALLEN STREET,Unspecified,986999,201496
124 BOWERY,5,985702,201082
124 EAST BROADWAY,7,986474,199372
124 FT GEORGE AVENUE,Unspecified,Unknown,Unknown
124 HESTER STREET,5,985709,200519
124 MOTT STREET,5,985122,200955
124 RIDGE STREET,7,988951,201313
124 RIDGE STREET,7,988951,201313
124 WEST 114 STREET,28,997350,231315
1240 LEXINGTON AVENUE,19,996233,222704
1242 LEXINGTON AVENUE,19,996243,222722
1248 ST NICHOLAS AVENUE,33,1001481,246717
124A HESTER STREET,5,985709,200519
