1 ALLEN STREET,Unspecified,Unknown,Unknown
20 WEST 102 STREET,24,994604,229198
20 WEST 119 STREET,28,999218,231823
200 EAST 116 STREET,25,1000948,229942
200 EAST 23 STREET,13,989012,208399
200 EAST 35 STREET,17,990481,211186
200 EAST 35 STREET,17,990481,211186
200 EAST 89 STREET,19,997476,223676
200 HAVEN AVENUE,33,1000198,247911
200 LAFAYETTE STREET,5,984808,202074
200 MULBERRY STREET,5,985242,202151
200 MULBERRY STREET,5,985242,202151
200 MULBERRY STREET,5,985242,202151
200 WEST 102 STREET,24,993172,229992
200 WEST 106 STREET,24,993656,230945
200 WEST 107 STREET,24,993776,231200
200 WEST 118 STREET,28,997588,232426
200 WEST 136 STREET,32,999832,236637
200 WEST 14 STREET,6,984219,208414
200 WEST 146 STREET,32,1001107,238947
200 WEST 146 STREET,32,1001107,238947
200 WEST 24 STREET,10,985471,210676
200 WEST 80 STREET,20,990325,224881
200 WEST 81 STREET,20,990453,225112
200 WEST 82 STREET,20,990581,225343
200 WEST 94 STREET,24,992137,228127
200 WEST 94 STREET,24,992137,228127
200 WEST 96 STREET,24,992399,228601
200 WEST 98 STREET,24,992662,229078
200 WEST 99 STREET,24,992790,229307
200 WEST 99 STREET,24,992790,229307
2001 3 AVENUE,23,1000058,228553
2001 AMSTERDAM AVENUE,33,1000565,243205
2002 2 AVENUE,23,999827,226670
2002 5 AVENUE,28,1000125,232891
2003 AMSTERDAM AVENUE,33,1000578,243228
2005 AMSTERDAM AVENUE,33,1000590,243250
2007 LEXINGTON AVENUE,25,1001218,231688
2009 3 AVENUE,23,1000125,228675
2009 AMSTERDAM AVENUE,33,1000616,243296
201 ALLEN STREET,Unspecified,987342,202485
201 AMSTERDAM AVENUE,20,988975,222291
201 CHRYSTIE STREET,5,986520,202360
201 CLINTON STREET,7,987814,199440
201 EAST 116 STREET,25,1000951,229947
201 EAST 125 STREET,25,1002114,232044
201 EAST 35 STREET,17,990484,211191
201 EAST 35 STREET,17,990484,211191
201 EAST 87 STREET,19,997225,223223
201 EAST 89 STREET,19,997479,223681
201 LAFAYETTE STREET,5,984821,202084
201 WEST 101 STREET,24,993046,229770
201 WEST 106 STREET,24,993659,230950
201 WEST 125 STREET,28,998420,234090
201 WEST 132 STREET,32,999312,235698
201 WEST 147 STREET,32,1001239,239178
201 WEST 80 STREET,20,990328,224886
201 WEST 81 STREET,20,990456,225117
201 WEST 81 STREET,20,990456,225117
201 WEST 82 STREET,20,990584,225348
201 WEST 84 STREET,20,990842,225810
201 WEST 87 STREET,24,991252,226531
201 WEST 94 STREET,24,992140,228132
201 WEST 95 STREET,24,992266,228361
2010 LEXINGTON AVENUE,25,1001227,231716
2013 7 AVENUE,28,997992,232990
2013 AMSTERDAM AVENUE,33,1000641,243341
2015 AMSTERDAM AVENUE,33,1000653,243363
2017 AMSTERDAM AVENUE,33,1000690,243431
2017 AMSTERDAM AVENUE,33,1000690,243431
2018 3 AVENUE,23,1000191,228803
202 EAST 25 STREET,13,989280,208862
202 EAST 4 STREET,Unspecified,988651,203032
202 EAST 6 STREET,9,986862,204597
202 WADSWORTH AVENUE,34,1002520,249409
202 WEST 107 STREET,24,993766,231205
202 WEST 118 STREET,28,997579,232431
202 WEST 84 STREET,Unspecified,Unknown,Unknown
2021 AMSTERDAM AVENUE,33,1000706,243460
2021 LEXINGTON AVENUE,25,1001295,231828
2025 AMSTERDAM AVENUE,33,1000722,243489
2026 LEXINGTON AVENUE,25,1001346,231932
2029 AMSTERDAM AVENUE,33,1000737,243518
203 CENTRE STREET,5,984489,201245
203 EAST 116 STREET,25,1000960,229942
203 EAST 13 STREET,9,987767,206130
203 LAFAYETTE STREET,5,984838,202110
203 WEST 147 STREET,32,1001229,239184
203 WEST 82 STREET,20,990569,225357
2033 5 AVENUE,25,1000325,233239
2033 5 AVENUE,25,1000325,233239
2035 1 AVENUE,23,1000728,226756
2035 7 AVENUE,28,998128,233236
2035 ADAM CLAYTON POWELL BOULEVARD,28,998128,233236
2035 AMSTERDAM AVENUE,33,1000761,243562
2035 FIRST AVENUE,23,1000728,226756
2037 3 AVENUE,23,1000285,228958
2039 AMSTERDAM AVENUE,33,1000777,243591
2039 AMSTERDAM AVENUE,33,1000777,243591
2039 AMSTERDAM AVENUE,33,1000777,243591
204 2 AVENUE,Unspecified,Unknown,Unknown
204 CLINTON STREET,7,987829,199368
204 EAST 120 STREET,Unspecified,Unknown,Unknown
204 EAST 35 STREET,17,990528,211160
204 EAST 58 STREET,17,993512,216428
204 EAST 84 STREET,19,996837,222482
204 WEST 125 STREET,28,998395,234097
204 WEST 136 STREET,32,999810,236649
204 WEST 84 STREET,20,990807,225823
2040 5 AVENUE,Unspecified,Unknown,Unknown
2040 8 AVENUE,28,995943,231150
2042 AMSTERDAM AVENUE,33,1000818,243677
205 10 AVENUE,10,982990,211496
205 CENTRE STREET,5,984502,201266
205 CHRYSTIE STREET,5,986538,202405
205 CHRYSTIE STREET,5,986538,202405
205 CHRYSTIE STREET,5,986538,202405
205 EAST 4 STREET,9,988717,203002
205 THOMPSON STREET,6,984395,204753
205 WEST 104 STREET,24,993389,230478
2050 AMSTERDAM AVENUE,33,1000847,243726
2050 LEXINGTON AVENUE,25,1001481,232174
2050 LEXINGTON AVENUE,25,1001481,232174
2054 BROADWAY,20,989220,222581
206 AUDUBON AVENUE,33,1002238,247187
206 AVENUE B,Unspecified,990137,204673
206 DYCKMAN STREET,34,1004461,254426
206 EAST 116 STREET,25,1000975,229927
206 EAST 7 STREET,9,989782,203258
206 WEST 118 STREET,28,997561,232441
206 WEST 120 STREET,28,997759,232930
2060 7 AVENUE,28,998269,233503
2065 7 AVENUE,28,998332,233604
2065 AMSTERDAM AVENUE,33,1000954,243907
207 EAST 123 STREET,25,1001881,231552
207 EAST 125 STREET,25,1002140,232029
207 WEST 28 STREET,10,985940,211602
207 WEST 38 STREET,14,987206,213889
207 WEST 38 STREET,14,987206,213889
2070 8 AVENUE,Unspecified,Unknown,Unknown
2071 2 AVENUE,23,1000282,227500
2073 AMSTERDAM AVENUE,33,1000980,243955
2075 AMSTERDAM AVENUE,33,1000987,243967
2076 8 AVENUE,28,996146,231515
2077 AMSTERDAM AVENUE,33,1000994,243979
2079 AMSTERDAM AVENUE,33,1001000,243992
208 3 AVENUE,13,988332,207397
208 AVENUE A,9,989538,205099
208 EAST 116 STREET,25,1000984,229922
208 EAST 117 STREET,25,1001122,230170
208 EAST 118 STREET,Unspecified,Unknown,Unknown
208 EAST 119 STREET,25,1001377,230628
2081 AMSTERDAM AVENUE,33,1001007,244004
2083 AMSTERDAM AVENUE,33,1001039,244062
2087 AMSTERDAM AVENUE,33,1001083,244141
2088 AMSTERDAM AVENUE,33,1001077,244144
2089 AMSTERDAM AVENUE,33,1001098,244167
209 EAST 2 STREET,Unspecified,Unknown,Unknown
209 MADISON STREET,7,987188,198933
209 ST NICHOLAS AVENUE,28,997293,233312
209 WADSWORTH AVENUE,34,1002552,249456
209 WEST 125 STREET,28,998376,234115
209 WEST 28 STREET,10,985929,211608
2090 7 AVENUE,Unspecified,998484,233890
2091 AMSTERDAM AVENUE,33,1001112,244194
2091 BROADWAY,20,989248,223170
2093 AMSTERDAM AVENUE,33,1001127,244220
2095 AMSTERDAM AVENUE,33,1001142,244247
2095 MADISON AVENUE,25,1001543,234385
2099 BROADWAY,20,989266,223260
21 ALLEN STREET,5,986376,199920
21 BENNETT AVENUE,34,1001878,249394
21 EAST 7 STREET,9,987215,204686
21 EAST BROADWAY,5,985149,199225
21 JUMEL PLACE,33,1001915,245065
21 LENOX AVENUE,28,997568,230379
21 MOTT STREET,5,984587,199541
21 MOTT STREET,5,984587,199541
21 MOTT STREET,Unspecified,Unknown,Unknown
21 WEST 100 STREET,24,994367,228732
210 6 AVENUE,1,983324,204210
210 CENTRE STREET,5,984537,201311
210 EAST 111 STREET,Unspecified,Unknown,Unknown
210 EAST 23 STREET,13,989056,208374
210 EAST 75 STREET,19,995692,220350
210 NAGLE AVENUE,34,1005554,253426
210 NAGLE AVENUE,34,1005554,253426
210 SIXTH AVENUE,1,983324,204210
210 ST NICHOLAS AVENUE,28,997297,233351
210 WEST 153 STREET,32,1002034,240517
210 WEST 94 STREET,24,992052,228174
2100 AMSTERDAM AVENUE,33,1001192,244348
2104 7 AVENUE,28,998594,234088
2104 AMSTERDAM AVENUE,33,1001216,244391
2105 3 AVENUE,Unspecified,Unknown,Unknown
2108 2 AVENUE,23,1000515,227911
2108 5 AVENUE,32,1000800,234107
2109 AMSTERDAM AVENUE,33,1001251,244441
211 EAST 64 STREET,19,994279,217799
211 EAST 64 STREET,19,994279,217799
211 EAST BROADWAY,7,987660,199501
211 SHERMAN AVENUE,34,1006187,254625
2110 5 AVENUE,32,1000808,234123
2110 5 AVENUE,32,1000808,234123
2110 AMSTERDAM AVENUE,33,1001252,244456
2111 3 AVENUE,25,1000786,229862
2113 3 AVENUE,25,1000794,229877
2119 3 AVENUE,25,1000821,229925
212 EAST 117 STREET,25,1001140,230160
212 ST NICHOLAS AVENUE,28,997296,233375
212 WEST 93 STREET,24,991909,227955
2121 1 AVENUE,23,1001254,227705
2121 3 AVENUE,25,1000829,229941
2121 3 AVENUE,25,1000829,229941
2121 AMSTERDAM AVENUE,33,1001340,244603
2124 8 AVENUE,28,996436,232038
2125 1 AVENUE,23,1001280,227751
2125 AMSTERDAM AVENUE,33,1001358,244636
2125 AMSTERDAM AVENUE,Unspecified,Unknown,Unknown
2126 2 AVENUE,23,1000620,228099
2127 7 AVENUE,28,998750,234357
2127 BROADWAY,20,989389,223667
2128 2 AVENUE,23,1000630,228117
2128 3 AVENUE,25,1000896,230073
2129 3 AVENUE,25,1000904,230075
2129 AMSTERDAM AVENUE,33,1001377,244669
213 BOWERY,5,986037,202147
213 BOWERY,5,986037,202147
213 EAST 125 STREET,25,1002167,232014
213 EAST 125 STREET,25,1002167,232014
213 SHERMAN AVENUE,34,1006210,254636
213 WEST 115 STREET,28,997056,231780
2131 AMSTERDAM AVENUE,33,1001386,244685
2132 3 AVENUE,25,1000917,230112
2134 2 AVENUE,23,1000661,228172
2135 1 AVENUE,23,1001343,227866
2139 AMSTERDAM AVENUE,33,1001436,244777
214 3 AVENUE,13,988363,207453
214 EAST 117 STREET,25,1001149,230155
214 EAST 117 STREET,25,1001149,230155
214 MULBERRY STREET,5,985310,202379
214 RIVERSIDE DRIVE,24,990816,228710
2140 AMSTERDAM AVENUE,33,1001482,244875
2141 3 AVENUE,25,1000977,230205
2143 3 AVENUE,25,1001017,230277
2146 AMSTERDAM AVENUE,33,1001508,244921
2147 3 AVENUE,25,1001033,230306
2149 3 AVENUE,25,1001041,230321
215 1 AVENUE,Unspecified,988911,205424
215 AVENUE B,9,990229,204826
215 EAST 117 STREET,25,1001152,230160
215 EAST 117 STREET,Unspecified,Unknown,Unknown
215 EAST BROADWAY,Unspecified,Unknown,Unknown
215 WEST 101 STREET,24,992867,229868
215 WEST 28 STREET,10,985895,211627
215 WEST 84 STREET,20,990728,225873
2151 3 AVENUE,25,1001049,230335
2153 5 AVENUE,Unspecified,Unknown,Unknown
2155 7 AVENUE,Unspecified,Unknown,Unknown
2155 SEVENTH AVENUE,32,998905,234638
2158 3 AVENUE,25,1001090,230420
2159 5 AVENUE,Unspecified,Unknown,Unknown
216 EAST 125 STREET,25,1002182,231999
216 EAST 90 STREET,19,997672,223867
216 ST NICHOLAS AVENUE,28,997294,233422
216 WEST 100 STREET,24,992748,229634
216 WEST 103 STREET,24,993127,230317
2160 3 AVENUE,Unspecified,1001101,230440
2162 3 AVENUE,Unspecified,Unknown,Unknown
2166 3 AVENUE,25,1001158,230544
2167 3 AVENUE,25,1001144,230505
2167 3 AVENUE,Unspecified,Unknown,Unknown
2168 3 AVENUE,Unspecified,Unknown,Unknown
217 BOWERY,5,986065,202245
217 EAST 26 STREET,13,989470,209057
217 EAST 88 STREET,19,997430,223409
217 MADISON STREET,7,987284,198944
217 MOTT STREET,5,985559,202367
217 WEST 115 STREET,28,997034,231792
2170 3 AVENUE,Unspecified,Unknown,Unknown
2172 AMSTERDAM AVENUE,33,1001649,245173
2172 AMSTERDAM AVENUE,33,1001649,245173
2176 AMSTERDAM AVENUE,33,1001677,245223
2178 AMSTERDAM AVENUE,33,1001691,245249
2178 AMSTERDAM AVENUE,33,1001691,245249
218 CANAL STREET,5,984563,200559
218 EAST 111 STREET,23,1000384,228737
218 EAST 125 STREET,25,1002190,231994
218 EAST 89 STREET,19,997555,223632
218 LAFAYETTE STREET,5,984951,202291
2180 AMSTERDAM AVENUE,33,1001722,245305
2182 LEXINGTON AVENUE,25,1002282,233626
2183 AMSTERDAM AVENUE,Unspecified,1001745,245333
2184 AMSTERDAM AVENUE,33,1001747,245350
2185 AMSTERDAM AVENUE,33,1001753,245349
2188 AMSTERDAM AVENUE,33,1001772,245395
219 AUDUBON AVENUE,33,1002342,247362
219 EAST 89 STREET,19,997558,223637
219 EAST BROADWAY,7,987745,199510
219 ELDRIDGE STREET,5,986976,202211
219 MADISON STREET,7,987308,198946
219 WEST 100 STREET,24,992691,229671
219 WEST 145 STREET,Unspecified,Unknown,Unknown
2194 AMSTERDAM AVENUE,33,1001809,245462
2195 7 AVENUE,32,999160,235099
2196 5 AVENUE,32,1001352,235104
2197 BROADWAY,20,989634,224548
2197 BROADWAY,20,989634,224548
2198 3 AVENUE,25,1001354,230898
22 BRADHURST AVENUE,32,999770,238821
22 EAST 36 STREET,17,989293,212138
22 PELL STREET,5,984757,199719
22 WEST 19 STREET,13,986375,208689
220 EAST 117 STREET,25,1001175,230140
220 EAST 125 STREET,25,1002199,231989
220 NAGLE AVENUE,34,1005627,253460
220 NAGLE AVENUE,34,1005627,253460
220 WADSWORTH AVENUE,34,1002617,249585
220 WEST 30 STREET,14,986107,212090
2200 3 AVENUE,25,1001391,230966
2200 AMSTERDAM AVENUE,33,1001863,245561
2201 3 AVENUE,25,1001359,230895
2201 AMSTERDAM AVENUE,33,1001850,245525
2206 BROADWAY,20,989718,224710
221 EAST 88 STREET,19,997447,223399
221 MADISON STREET,7,987332,198949
221 SEAMAN AVENUE,34,1006613,256644
2211 3 AVENUE,25,1001436,231035
2212 BROADWAY,20,989746,224762
2217 7 AVENUE,32,999302,235355
222 EAST 82 STREET,19,996662,221976
2224 AMSTERDAM AVENUE,33,1001998,245806
2226 3 AVENUE,25,1001518,231196
223 EAST 82 STREET,19,996665,221981
223 WEST 28 STREET,10,985850,211652
224 CANAL STREET,5,984412,200722
224 CANAL STREET,5,984412,200722
224 ELIZABETH STREET,5,985906,202687
224 MULBERRY STREET,5,985341,202479
224 NAGLE AVENUE,34,1005766,253528
224 WEST 72 STREET,20,989003,223129
2240 3 AVENUE,Unspecified,Unknown,Unknown
2242 BROADWAY,20,989975,225166
2244 AMSTERDAM AVENUE,33,1002140,246064
2244 AMSTERDAM AVENUE,33,1002140,246064
2244 AMSTERDAM AVENUE,33,1002140,246064
225 EAST 116 STREET,25,1001058,229888
225 EAST 2 STREET,9,989112,202174
225 EAST HOUSTON STREET,7,987999,202424
225 WAVERLY PLACE,6,983738,207454
225 WEST 115 STREET,28,996991,231817
225 WEST 28 STREET,10,985839,211658
225 WEST END AVENUE,20,988328,222989
2250 1 AVENUE,25,1002079,229184
2253 3 AVENUE,25,1001695,231502
2256 3 AVENUE,25,1001712,231545
226 VARICK STREET,6,982800,204921
2262 2 AVENUE,25,1001513,229708
2266 3 AVENUE,25,1001792,231689
2267 2 AVENUE,25,1001525,229743
227 AVENUE B,9,990276,204907
227 CENTRE STREET,5,984693,201573
227 EAST 2 STREET,9,989129,202164
227 WAVERLY PLACE,6,983734,207474
2270 BROADWAY,20,990143,225465
2271 2 AVENUE,25,1001545,229778
2276 2 AVENUE,Unspecified,Unknown,Unknown
228 EAST 10 STREET,9,988323,204919
228 EAST 117 STREET,25,1001211,230121
228 EAST 80 STREET,19,996432,221498
228 NAGLE AVENUE,34,1005832,253561
228 NAGLE AVENUE,34,1005832,253561
2283 2 AVENUE,25,1001631,229935
2284 12 AVENUE,26,995208,237353
2286 1 AVENUE,25,1002342,229658
2289 3 AVENUE,25,1001938,231940
229 WEST 101 STREET,24,992605,230013
229 WEST 112 STREET,28,996588,231145
229 WEST 115 STREET,28,996969,231829
229 WEST 28 STREET,10,985816,211671
229 WEST 78 STREET,20,989831,224512
2291 3 AVENUE,25,1001949,231959
2292 1 AVENUE,25,1002372,229711
2293 2 AVENUE,25,1001687,230035
2293 2 AVENUE,25,1001687,230035
2294 2 AVENUE,25,1001706,230057
2294 2 AVENUE,25,1001706,230057
2295 2 AVENUE,25,1001698,230055
2295 2 AVENUE,25,1001698,230055
2296 1 AVENUE,Unspecified,Unknown,Unknown
2298 1 AVENUE,25,1002428,229812
23 ALLEN STREET,5,986388,199948
23 AVENUE A,9,988168,202638
23 AVENUE D,9,990309,201890
23 CANAL STREET,7,986940,199565
23 DIVISION STREET,5,985259,199437
23 PELL STREET,5,984752,199715
23 POST AVENUE,34,1005202,253698
23 WEST 100 STREET,24,994355,228738
23 WEST 125 STREET,28,999969,233231
23 WEST 125 STREET,28,999969,233231
23 WEST 125 STREET,28,999969,233231
23 WEST 18 STREET,13,986250,208488
23 WOOSTER STREET,1,983355,202213
230 CANAL STREET,5,984359,200774
230 EAST 27 STREET,13,989651,209243
230 WEST 125 STREET,28,998253,234176
230 WEST 97 STREET,24,992311,228973
2301 5 AVENUE,25,1002072,236393
2308 AMSTERDAM AVENUE,33,1002525,246756
231 BOWERY,5,986104,202388
231 CENTRE STREET,5,984711,201603
231 EAST 29 STREET,13,989906,209699
231 LAFAYETTE STREET,5,985070,202493
231 LAFAYETTE STREET,5,985070,202493
231 WEST 124 STREET,28,998119,233934
231 WEST 58 STREET,18,989540,218635
2310 BROADWAY,20,990399,225913
2311 2 AVENUE,Unspecified,Unknown,Unknown
2312 1 AVENUE,25,1002485,229913
2313 2 AVENUE,25,1001818,230270
2315 2 AVENUE,25,1001828,230288
2319 3 AVENUE,25,1002137,232299
2319 3 AVENUE,25,1002137,232299
2319 3 AVENUE,Unspecified,Unknown,Unknown
232 EAST 80 STREET,19,996450,221488
232 ELIZABETH STREET,5,985925,202748
232 SHERMAN AVENUE,34,1006453,254761
232 WEST 116 STREET,28,997077,232087
2320 AMSTERDAM AVENUE,33,1002624,246935
2321 2 AVENUE,25,1001886,230393
2322 2 AVENUE,25,1001892,230390
2323 1 AVENUE,25,1002504,229960
233 CENTRE STREET,5,984721,201618
233 LAFAYETTE STREET,5,985076,202513
233 LAFAYETTE STREET,5,985076,202513
233 MULBERRY STREET,5,985357,202553
233 SPRING STREET,1,982937,203626
2330 AMSTERDAM AVENUE,33,1002667,247011
2330 BROADWAY,20,990532,226130
2330 BROADWAY,20,990532,226130
2331 8 AVENUE,Unspecified,Unknown,Unknown
2332 7 AVENUE,32,1000044,236706
2332 SEVENTH AVENUE,32,1000044,236706
2333 5 AVENUE,25,1002321,236854
2333 5 AVENUE,Unspecified,Unknown,Unknown
2333 BROADWAY,20,990548,226164
2335 12 AVENUE,30,995677,238102
2336 2 AVENUE,Unspecified,Unknown,Unknown
2337 8 AVENUE,28,997823,234555
234 EAST 23 STREET,13,989163,208315
234 WEST 122 STREET,28,997838,233484
2342 FREDERICK DOUGLAS BOULEVARD,28,997857,234604
2343 8 AVENUE,28,997852,234607
2345 BROADWAY,20,990647,226317
2345 BROADWAY,20,990647,226317
2346 8 AVENUE,28,997876,234638
2349 8 AVENUE,28,997880,234658
2349 8 AVENUE,28,997880,234658
235 EAST 11 STREET,9,987746,205533
235 WEST 125 STREET,28,998234,234193
235 WEST 125 STREET,28,998234,234193
235 WEST 125 STREET,28,998234,234193
2355 8 AVENUE,28,997945,234775
236 EAST 23 STREET,13,989172,208310
236 EAST 83 STREET,19,996851,222171
236 LAFAYETTE STREET,5,985077,202537
2360 8 AVENUE,28,997981,234827
2360 AMSTERDAM AVENUE,33,1002867,247373
2361 8 AVENUE,28,997984,234845
2366 5 AVENUE,Unspecified,1002424,237081
2366 8 AVENUE,28,998014,234888
2367 8 AVENUE,32,998047,234960
2368 12 AVENUE,30,995738,238223
237 WEST 13 STREET,6,983816,208318
2371 2 AVENUE,25,1002203,230920
2372 AMSTERDAM AVENUE,33,1002919,247467
2375 2 AVENUE,25,1002221,230953
238 EAST 117 STREET,25,1001255,230096
238 EAST 23 STREET,13,989180,208306
238 MULBERRY STREET,5,985384,202619
238 WEST 122 STREET,28,997816,233496
238 WEST 78 STREET,Unspecified,Unknown,Unknown
2380 7 AVENUE,32,1000354,237265
239 1 AVENUE,13,989161,205809
239 1 AVENUE,13,989161,205809
239 EAST 5 STREET,9,986937,204268
239 EAST 88 STREET,19,997526,223356
239 GRAND STREET,5,985752,201000
239 MULBERRY STREET,5,985373,202604
239 MULBERRY STREET,5,985373,202604
2391 8 AVENUE,32,998190,235216
2391 8 AVENUE,32,998190,235216
2391 8 AVENUE,32,998190,235216
2393 8 AVENUE,32,998198,235231
2393 8 AVENUE,32,998198,235231
2395 8 AVENUE,32,998206,235245
24 A AVENUE,9,988221,202723
24 ALLEN STREET,Unspecified,986406,199980
24 AVENUE A,9,988221,202723
24 HORATIO STREET,6,983073,208421
24 PELL STREET,5,984753,199720
240 BLEECKER STREET,6,983515,205459
240 CENTRE STREET,5,984747,201649
240 EAST 23 STREET,13,989189,208301
240 EAST 33 STREET,17,990449,210566
240 EAST 4 STREET,9,988979,202848
240 EAST 82 STREET,19,996742,221931
240 EAST HOUSTON STREET,9,988170,202361
240 WEST 35 STREET,14,986639,213313
240 WEST 40 STREET,14,987261,214440
2400 AMSTERDAM AVENUE,34,1003121,247834
2401 2 AVENUE,25,1002420,231320
2401 8 AVENUE,32,998231,235289
2403 8 AVENUE,32,998239,235303
2403 8 AVENUE,32,998239,235303
2405 AMSTERDAM AVENUE,34,1003215,247991
2407 8 AVENUE,32,998255,235332
241 EAST 46 STREET,17,992118,213586
241 ELDRIDGE STREET,5,987108,202547
241 HENRY STREET,7,988236,199318
241 MULBERRY STREET,5,985378,202621
241 WEST 116 STREET,Unspecified,Unknown,Unknown
2415 2 AVENUE,25,1002486,231467
2415 7 AVENUE,32,1000621,237735
2415 E.124 ST,Unspecified,Unknown,Unknown
242 EAST 33 STREET,17,990458,210561
242 EAST 36 STREET,Unspecified,990952,211219
2425 2 AVENUE,25,1002554,231598
2425 2 AVENUE,25,1002554,231598
243 WEST 99 STREET,24,992363,229553
244 EAST HOUSTON STREET,9,988212,202342
244 ELIZABETH STREET,5,985953,202839
244 ELIZABETH STREET,5,985953,202839
244 ELIZABETH STREET,5,985953,202839
2445 8 AVENUE,32,998545,235858
245 ELIZABETH STREET,5,985942,202824
245 ELIZABETH STREET,5,985942,202824
245 ELIZABETH STREET,Unspecified,985942,202824
2455 8 AVENUE,Unspecified,Unknown,Unknown
246 BOWERY,5,986156,202594
246 EAST 106 STREET,23,999865,227505
246 EAST 119 STREET,25,1001549,230532
246 EAST 125 STREET,25,1002315,231925
246 ELIZABETH STREET,5,985958,202854
246 WEST 4 STREET,6,983386,206960
2465 BROADWAY,24,991462,227712
2468 7 AVENUE,32,1000920,238286
247 AUDUBON AVENUE,33,1002497,247642
247 CANAL STREET,5,984151,200979
247 GRAND STREET,Unspecified,985848,200960
2470 8 AVENUE,32,998680,236088
2472 8 AVENUE,32,998691,236108
2473 7 AVENUE,32,1000934,238299
2478 BROADWAY,24,991569,227892
248 EAST 10 STREET,9,988672,204725
248 EAST 117 STREET,25,1001299,230071
248 EAST 125 STREET,25,1002323,231920
248 EAST 23 STREET,13,989225,208281
248 WEST 106 STREET,24,993349,231115
248 WEST 106 STREET,24,993349,231115
248 WEST BROADWAY,1,982641,201549
2482 7 AVENUE,32,1001014,238456
2486 BROADWAY,24,991604,227956
249 EAST 2 STREET,9,989323,202057
249 EAST 2 STREET,9,989323,202057
249 EAST 7 STREET,9,990333,202960
249 WEST 29 STREET,14,985829,211958
2493 7 AVENUE,Unspecified,Unknown,Unknown
2494 8 AVENUE,32,998836,236368
2496 8 AVENUE,32,998846,236386
249A WEST 29 STREET,14,985829,211958
25 7 AVENUE,6,984113,207938
25 ALLEN STREET,5,986399,199977
25 ALLEN STREET,5,986399,199977
25 BEEKMAN STREET,1,982580,198235
25 CARMINE STREET,6,983431,205300
25 DOWNING STREET,6,983348,205045
25 EAST 1 STREET,9,986759,203165
25 ESSEX STREET,7,987069,199925
25 ESSEX STREET,7,987069,199925
25 HENRY STREET,5,985288,198998
25 HOWARD STREET,5,984127,201395
25 POST AVENUE,34,1005222,253707
25 STAFF STREET,34,1003517,255358
25 WEST 125 STREET,28,999957,233238
250 3 AVENUE,13,988593,207869
250 BRADHURST AVENUE,Unspecified,1001197,241465
250 DYCKMAN STREET,34,1004071,254944
250 EAST 10 STREET,9,988688,204716
250 EAST 124 STREET,25,1002197,231669
250 EAST 125 STREET,25,1002332,231916
250 EAST 90 STREET,19,997823,223783
250 FT WASHINGTON AVENUE,33,1000443,246637
250 FT WASHINGTON AVENUE,33,1000443,246637
250 GRAND STREET,5,985879,200954
250 MULBERRY STREET,5,985420,202740
250 SHERMAN AVENUE,34,1006616,254840
250 WEST 106 STREET,24,993336,231123
250 WEST 106 STREET,24,993336,231123
250 WEST 155 STREET,32,1001894,241212
250 WEST 80 STREET,20,989818,225162
250 WEST 81 STREET,20,989946,225394
250 WEST 86 STREET,20,990598,226565
250 WEST 99 STREET,24,992318,229571
2502 8 AVENUE,32,998875,236439
2505 7 AVENUE,32,1001156,238701
2508 7 AVENUE,32,1001168,238735
2508 7 AVENUE,Unspecified,Unknown,Unknown
2508 BROADWAY,24,991735,228192
251 EAST 119 STREET,25,1001565,230530
251 EAST 119 STREET,25,1001565,230530
251 EAST 119 STREET,25,1001565,230530
251 WEST 16 STREET,10,984209,209059
251 WEST 87 STREET,24,990821,226771
2518 8 AVENUE,32,998970,236611
252 EAST 86 STREET,19,997316,222844
252 NAGLE AVENUE,34,1006265,253779
252 WEST 106 STREET,24,993323,231130
252 WEST 149 STREET,32,1001202,239787
252 WEST 81 STREET,20,989939,225398
2526 8 AVENUE,32,998999,236664
253 EAST 78 STREET,19,996265,220946
253 EAST HOUSTON STREET,7,988358,202276
253 ELIZABETH STREET,Unspecified,985959,202879
253 GRAND STREET,5,985919,200930
253 WEST 125 STREET,28,998136,234248
253 WEST 28 STREET,10,985682,211746
253 WEST 29 STREET,14,985806,211970
253 WEST 35 STREET,14,986574,213356
253 WEST 72 STREET,20,988872,223208
2530 7 AVENUE,32,1001315,238999
2535 8 AVENUE,32,999118,236891
2536 BROADWAY,24,991909,228510
254 EAST 125 STREET,25,1002350,231906
254 WEST 29 STREET,10,985792,211971
254 WEST 4 STREET,6,983355,207100
2542 7 AVENUE,32,1001408,239168
2549 AMSTERDAM AVENUE,34,1004054,249508
255 BOWERY,5,986203,202741
255 DYCKMAN STREET,34,1004053,254972
255 ELIZABETH STREET,Unspecified,Unknown,Unknown
255 WEST 14 STREET,10,983918,208588
255 WEST 36 STREET,14,986687,213589
255 WEST 42 STREET,14,987446,214957
2551 AMSTERDAM AVENUE,Unspecified,Unknown,Unknown
2554 BROADWAY,24,992025,228719
256 WEST 108 STREET,24,993591,231602
256 WEST 124 STREET,28,997973,234007
256 WEST 124 STREET,28,997973,234007
256 WEST 81 STREET,20,989925,225406
257 CANAL STREET,5,984026,201096
2578 BROADWAY,24,992230,229085
2578 BROADWAY,24,992230,229085
258 WEST 117 STREET,28,997020,232442
2580 7 AVENUE,32,1001639,239592
2588 BROADWAY,24,992270,229158
259 1 AVENUE,13,989252,205972
259 BOWERY,5,986214,202779
259 CANAL STREET,5,984010,201111
259 MOTT STREET,5,985728,202908
